Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price,Remarks
17-SEP-2026,KANOHAR,Kanohar Electricals Ltd,ALPHAGREP SECURITIES PRIVATE LIMITED,SELL,655831,832.72,-
17-SEP-2026,KANOHAR,Kanohar Electricals Ltd,IRAGE BROKING SERVICES LLP,SELL,352406,831.46,-
17-SEP-2026,KAYA,Kaya Limited,V E C STRATEGIC LONG TERM INVESTMENT FUND,SELL,77208,315.50,-
17-SEP-2026,KOPRAN,Kopran Ltd.,QE SECURITIES LLP,SELL,257185,265.59,-
17-SEP-2026,KSHITIJPOL,Kshitij Polyline Limited,SATISH MEJIYATAR,SELL,2038410,4.02,-
17-SEP-2026,LAMOSAIC,Lamosaic India Limited,ACME CAPITAL MARKET LIMITED,SELL,60000,52.50,-
17-SEP-2026,LUMINO,Lumino Industries Limited,YUGA STOCKS AND COMMODITIES PRIVATE LIMITED,SELL,1775779,105.64,-
17-SEP-2026,LUMINO,Lumino Industries Limited,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,1843248,104.28,-
17-SEP-2026,MADHURKNIT,Madhur Knit Crafts Ltd,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,SELL,103200,44.85,-
17-SEP-2026,MADHURKNIT,Madhur Knit Crafts Ltd,PROGNOSIS SECURITIES PVT. LTD,SELL,186000,46.12,-
17-SEP-2026,MOBIKWIK,One Mobikwik Systems Ltd,QE SECURITIES LLP,SELL,436613,203.79,-
17-SEP-2026,MOBIKWIK,One Mobikwik Systems Ltd,HRTI PRIVATE LIMITED,SELL,485417,203.96,-
17-SEP-2026,MOTISONS,Motisons Jewellers Ltd,ALPHAGREP SECURITIES PRIVATE LIMITED,SELL,6281347,17.88,-
17-SEP-2026,MOTISONS,Motisons Jewellers Ltd,ARIHANT CAPITAL MARKETS LIMITED,SELL,21381864,17.81,-
17-SEP-2026,MOTISONS,Motisons Jewellers Ltd,QE SECURITIES LLP,SELL,13078141,17.78,-
17-SEP-2026,MOTISONS,Motisons Jewellers Ltd,HRTI PRIVATE LIMITED,SELL,8261705,17.69,-
17-SEP-2026,MOTISONS,Motisons Jewellers Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,12222792,17.84,-
17-SEP-2026,MOTISONS,Motisons Jewellers Ltd,MICROCURVES TRADING PRIVATE LIMITED,SELL,7641366,18.00,-
17-SEP-2026,MPEL-RE,Manas Poly n Energ Ltd,VINEET BHADAURIA,SELL,1318400,1.57,-
17-SEP-2026,ONIDA,Onida Electronics Limited,SSPL SECURITIES PRIVATE LIMITED,SELL,1890000,33.76,-
17-SEP-2026,PNC,PNC Media and Ent Ltd,IRAGE BROKING SERVICES LLP,SELL,48842,16.84,-
17-SEP-2026,PRANAV,Pranav Constructions Ltd,KRISHNA AWTAR KABRA,SELL,735342,112.95,-
17-SEP-2026,PRANAV,Pranav Constructions Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,736152,112.08,-
17-SEP-2026,PRANAV,Pranav Constructions Ltd,QE SECURITIES LLP,SELL,793836,112.46,-
17-SEP-2026,PRANAV,Pranav Constructions Ltd,PARTH INFIN BROKERS PVT LTD,SELL,673123,113.74,-
17-SEP-2026,RANASUG,Rana Sugars Ltd,NIRANJAN MAHANTA,SELL,780000,14.72,-
17-SEP-2026,RATNAVEER,Ratnaveer Precision Eng L,MATHISYS QUANTCAP LLP,SELL,499529,307.01,-
17-SEP-2026,RATNAVEER,Ratnaveer Precision Eng L,NOVA GLOBAL OPPORTUNITIES FUND PCC - TOUCHSTONE,SELL,746910,290.01,-
17-SEP-2026,RATNAVEER,Ratnaveer Precision Eng L,ALPHAGREP SECURITIES PRIVATE LIMITED,SELL,487856,309.21,-
17-SEP-2026,RATNAVEER,Ratnaveer Precision Eng L,HRTI PRIVATE LIMITED,SELL,613260,306.13,-
17-SEP-2026,RATNAVEER,Ratnaveer Precision Eng L,MICROCURVES TRADING PRIVATE LIMITED,SELL,600909,310.74,-
17-SEP-2026,RATNAVEER,Ratnaveer Precision Eng L,ARIHANT CAPITAL MARKETS LIMITED,SELL,2766169,301.87,-
